#this format is:
#index t X V
1 0.0 1.05008226288 5.00822628784
2 0.01 1.11654658325 6.65465832464
3 0.02 1.19844599463 8.14459946263
4 0.03 1.29303930538 9.50393053761
5 0.04 1.40011660005 10.7116600052
6 0.05 1.51761302891 11.7613028912
7 0.06 1.64440855792 12.640855792
8 0.07 1.77775435275 13.3754352748
9 0.08 1.917406631 13.9406631
10 0.09 2.06075392774 14.3753927745
11 0.1 2.20741118197 14.641118197
12 0.11 2.35511918418 14.8119184183
13 0.12 2.50405077561 14.9050775615
14 0.13 2.65288556871 14.8885568714
15 0.14 2.80086133589 14.7861335894
16 0.15 2.94718130455 14.6181304546
17 0.16 3.09110317453 14.4103174534
18 0.17 3.23275081121 14.1750811212
19 0.18 3.37200989862 13.9009898617
20 0.19 3.50798915052 13.5989150519
21 0.2 3.64086471249 13.2864712488
22 0.21 3.77075393991 12.9753939909
23 0.22 3.89791624804 12.6916248036
24 0.23 4.02196871695 12.3968716954
25 0.24 4.14320062847 12.1200628469
26 0.25 4.26153960593 11.8539605929
27 0.26 4.37806969943 11.6069699432
28 0.27 4.49148516781 11.3485167808
29 0.28 4.60248324489 11.148324489
30 0.29 4.7116432026 10.9643202598
31 0.3 4.81994698238 10.7946982376
32 0.31 4.92657180113 10.6571801132
33 0.32 5.03233300622 10.5333006217
34 0.33 5.13621166105 10.4211661054
35 0.34 5.23911549201 10.3115492009
36 0.35 5.34147562109 10.2475621095
37 0.36 5.44296159173 10.1961591727
38 0.37 5.54483946986 10.1839469864
39 0.38 5.64673058467 10.1730584673
40 0.39 5.74896707122 10.1967071224
41 0.4 5.85109520301 10.2095203013
42 0.41 5.95313173685 10.2131736847
43 0.42 6.0556521441 10.2652144099
44 0.43 6.15956653958 10.3566539583
45 0.44 6.26422613403 10.422613403
46 0.45 6.36886278753 10.486278753
47 0.46 6.47437833795 10.5378337948
48 0.47 6.58012111222 10.6121112221
49 0.48 6.68671412941 10.6714129408
50 0.49 6.79418427816 10.7184278162
51 0.5 6.90132885441 10.7328854407
52 0.51 7.0082050582 10.72050582
53 0.52 7.11503834663 10.7038346628
54 0.53 7.22123801012 10.6238010122
55 0.54 7.32621967505 10.5219675052
56 0.55 7.42988463494 10.3884634941
57 0.56 7.53209955816 10.2099558164
58 0.57 7.63164355221 9.96435522088
59 0.58 7.72855845611 9.65584561074
60 0.59 7.82154383969 9.25438396856
61 0.6 7.9102553201 8.82553200975
62 0.61 7.99307859501 8.3078595011
63 0.62 8.07045982555 7.74598255517
64 0.63 8.14119533004 7.11953300402
65 0.64 8.20514791937 6.41479193727
66 0.65 8.2614976274 5.64976273959
67 0.66 8.30968872297 4.86887229668
68 0.67 8.35009650507 4.00965050744
69 0.68 8.38141469632 3.1414696325
70 0.69 8.40321135525 2.2211355253
71 0.7 8.41602688963 1.30268896254
72 0.71 8.41982520571 0.382520570964
73 0.72 8.41462738076 -0.537261923592
74 0.73 8.40057658902 -1.44234109759
75 0.74 8.37761872514 -2.33812748572
76 0.75 8.34622181877 -3.17781812346
77 0.76 8.30619365143 -3.98063485693
78 0.77 8.25881506472 -4.71849352799
79 0.78 8.20477425581 -5.42257441936
80 0.79 8.14458290161 -6.04170983878
81 0.8 8.07907259117 -6.59274088337
82 0.81 8.00809261606 -7.09073839402
83 0.82 7.93325093276 -7.47490672379
84 0.83 7.85478190058 -7.82180994222
85 0.84 7.77397579157 -8.10242084347
86 0.85 7.69077465377 -8.32253462276
87 0.86 7.60613346101 -8.48665389938
88 0.87 7.52020255979 -8.57974402103
89 0.88 7.43388148126 -8.61185187438
90 0.89 7.34752152961 -8.64784703869
91 0.9 7.26189720709 -8.61027929066
92 0.91 7.17696415379 -8.50358462148
93 0.92 7.09297411134 -8.40258886647
94 0.93 7.01048851346 -8.25114865431
95 0.94 6.92928296217 -8.07170378281
96 0.95 6.84997177595 -7.90282240472
97 0.96 6.77298606666 -7.7013933339
98 0.97 6.6981276049 -7.48723950956
99 0.98 6.6254192073 -7.25807926965
100 0.99 6.55491255133 -7.00874486738
101 1.0 6.48732126676 -6.76787332437
102 1.01 6.42179491512 -6.52050848786
103 1.02 6.35910703007 -6.28929699347
104 1.03 6.29832374001 -6.06762599938
105 1.04 6.23955408341 -5.84459165932
106 1.05 6.18388419515 -5.61158048469
107 1.06 6.13026476346 -5.37352365428
108 1.07 6.07844293352 -5.1557066479
109 1.08 6.0286976599 -4.93023400978
110 1.09 5.98182746505 -4.71725349457
