#this format is:
#index x U(x) F(x)
1 0.0 400.0 -400.0
2 0.001 399.60013998 -399.720059996
3 0.002 399.20055984 -399.440239968
4 0.003 398.80125946 -399.160539892
5 0.004 398.40223872 -398.880959744
6 0.005 398.003497501 -398.6014995
7 0.006 397.605035681 -398.322159136
8 0.007 397.206853142 -398.042938628
9 0.008 396.808949764 -397.763837952
10 0.009 396.411325427 -397.484857084
11 0.01 396.01398001 -397.205996
12 0.011 395.616913395 -396.927254676
13 0.012 395.220125461 -396.648633088
14 0.013 394.823616089 -396.370131212
15 0.014 394.427385158 -396.091749024
16 0.015 394.031432551 -395.8134865
17 0.016 393.635758146 -395.535343616
18 0.017 393.240361824 -395.257320348
19 0.018 392.845243465 -394.979416672
20 0.019 392.45040295 -394.701632564
21 0.02 392.05584016 -394.423968
22 0.021 391.661554974 -394.146422956
23 0.022 391.267547274 -393.868997408
24 0.023 390.87381694 -393.591691332
25 0.024 390.480363852 -393.314504704
26 0.025 390.087187891 -393.0374375
27 0.026 389.694288937 -392.760489696
28 0.027 389.301666871 -392.483661268
29 0.028 388.909321575 -392.206952192
30 0.029 388.517252927 -391.930362444
31 0.03 388.12546081 -391.653892
32 0.031 387.733945104 -391.377540836
33 0.032 387.342705689 -391.101308928
34 0.033 386.951742446 -390.825196252
35 0.034 386.561055256 -390.549202784
36 0.035 386.170644001 -390.2733285
37 0.036 385.78050856 -389.997573376
38 0.037 385.390648814 -389.721937388
39 0.038 385.001064645 -389.446420512
40 0.039 384.611755933 -389.171022724
41 0.04 384.22272256 -388.895744
42 0.041 383.833964406 -388.620584316
43 0.042 383.445481352 -388.345543648
44 0.043 383.057273279 -388.070621972
45 0.044 382.669340068 -387.795819264
46 0.045 382.281681601 -387.5211355
47 0.046 381.894297757 -387.246570656
48 0.047 381.50718842 -386.972124708
49 0.048 381.120353468 -386.697797632
50 0.049 380.733792785 -386.423589404
51 0.05 380.34750625 -386.1495
52 0.051 379.961493745 -385.875529396
53 0.052 379.575755152 -385.601677568
54 0.053 379.19029035 -385.327944492
55 0.054 378.805099223 -385.054330144
56 0.055 378.420181651 -384.7808345
57 0.056 378.035537514 -384.507457536
58 0.057 377.651166696 -384.234199228
59 0.058 377.267069076 -383.961059552
60 0.059 376.883244537 -383.688038484
61 0.06 376.49969296 -383.415136
62 0.061 376.116414226 -383.142352076
63 0.062 375.733408216 -382.869686688
64 0.063 375.350674813 -382.597139812
65 0.064 374.968213897 -382.324711424
66 0.065 374.586025351 -382.0524015
67 0.066 374.204109055 -381.780210016
68 0.067 373.822464891 -381.508136948
69 0.068 373.441092741 -381.236182272
70 0.069 373.059992487 -380.964345964
71 0.07 372.67916401 -380.692628
72 0.071 372.298607192 -380.421028356
73 0.072 371.918321914 -380.149547008
74 0.073 371.538308058 -379.878183932
75 0.074 371.158565507 -379.606939104
76 0.075 370.779094141 -379.3358125
77 0.076 370.399893842 -379.064804096
78 0.077 370.020964493 -378.793913868
79 0.078 369.642305975 -378.523141792
80 0.079 369.26391817 -378.252487844
81 0.08 368.88580096 -377.981952
82 0.081 368.507954227 -377.711534236
83 0.082 368.130377852 -377.441234528
84 0.083 367.753071718 -377.171052852
85 0.084 367.376035707 -376.900989184
86 0.085 366.999269701 -376.6310435
87 0.086 366.622773581 -376.361215776
88 0.087 366.24654723 -376.091505988
89 0.088 365.87059053 -375.821914112
90 0.089 365.494903362 -375.552440124
91 0.09 365.11948561 -375.283084
92 0.091 364.744337155 -375.013845716
93 0.092 364.369457879 -374.744725248
94 0.093 363.994847665 -374.475722572
95 0.094 363.620506395 -374.206837664
96 0.095 363.246433951 -373.9380705
97 0.096 362.872630215 -373.669421056
98 0.097 362.499095069 -373.400889308
99 0.098 362.125828397 -373.132475232
100 0.099 361.75283008 -372.864178804
101 0.1 361.3801 -372.596
102 0.101 361.00763804 -372.327938796
103 0.102 360.635444083 -372.059995168
104 0.103 360.263518011 -371.792169092
105 0.104 359.891859706 -371.524460544
106 0.105 359.520469051 -371.2568695
107 0.106 359.149345928 -370.989395936
108 0.107 358.77849022 -370.722039828
109 0.108 358.407901809 -370.454801152
110 0.109 358.037580578 -370.187679884
111 0.11 357.66752641 -369.920676
112 0.111 357.297739187 -369.653789476
113 0.112 356.928218792 -369.387020288
114 0.113 356.558965107 -369.120368412
115 0.114 356.189978016 -368.853833824
116 0.115 355.821257401 -368.5874165
117 0.116 355.452803144 -368.321116416
118 0.117 355.084615129 -368.054933548
119 0.118 354.716693238 -367.788867872
120 0.119 354.349037354 -367.522919364
121 0.12 353.98164736 -367.257088
122 0.121 353.614523139 -366.991373756
123 0.122 353.247664573 -366.725776608
124 0.123 352.881071547 -366.460296532
125 0.124 352.514743941 -366.194933504
126 0.125 352.148681641 -365.9296875
127 0.126 351.782884527 -365.664558496
128 0.127 351.417352485 -365.399546468
129 0.128 351.052085395 -365.134651392
130 0.129 350.687083143 -364.869873244
131 0.13 350.32234561 -364.605212
132 0.131 349.95787268 -364.340667636
133 0.132 349.593664236 -364.076240128
134 0.133 349.229720161 -363.811929452
135 0.134 348.866040338 -363.547735584
136 0.135 348.502624651 -363.2836585
137 0.136 348.139472982 -363.019698176
138 0.137 347.776585215 -362.755854588
139 0.138 347.413961234 -362.492127712
140 0.139 347.051600921 -362.228517524
141 0.14 346.68950416 -361.965024
142 0.141 346.327670834 -361.701647116
143 0.142 345.966100827 -361.438386848
144 0.143 345.604794022 -361.175243172
145 0.144 345.243750302 -360.912216064
146 0.145 344.882969551 -360.6493055
147 0.146 344.522451652 -360.386511456
148 0.147 344.162196489 -360.123833908
149 0.148 343.802203945 -359.861272832
150 0.149 343.442473904 -359.598828204
151 0.15 343.08300625 -359.3365
152 0.151 342.723800866 -359.074288196
153 0.152 342.364857635 -358.812192768
154 0.153 342.006176441 -358.550213692
155 0.154 341.647757169 -358.288350944
156 0.155 341.289599701 -358.0266045
157 0.156 340.931703921 -357.764974336
158 0.157 340.574069713 -357.503460428
159 0.158 340.216696961 -357.242062752
160 0.159 339.859585549 -356.980781284
161 0.16 339.50273536 -356.719616
162 0.161 339.146146278 -356.458566876
163 0.162 338.789818188 -356.197633888
164 0.163 338.433750972 -355.936817012
165 0.164 338.077944515 -355.676116224
166 0.165 337.722398701 -355.4155315
167 0.166 337.367113413 -355.155062816
168 0.167 337.012088536 -354.894710148
169 0.168 336.657323954 -354.634473472
170 0.169 336.302819551 -354.374352764
171 0.17 335.94857521 -354.114348
172 0.171 335.594590816 -353.854459156
173 0.172 335.240866253 -353.594686208
174 0.173 334.887401405 -353.335029132
175 0.174 334.534196156 -353.075487904
176 0.175 334.181250391 -352.8160625
177 0.176 333.828563993 -352.556752896
178 0.177 333.476136846 -352.297559068
179 0.178 333.123968836 -352.038480992
180 0.179 332.772059846 -351.779518644
181 0.18 332.42040976 -351.520672
182 0.181 332.069018463 -351.261941036
183 0.182 331.717885839 -351.003325728
184 0.183 331.367011773 -350.744826052
185 0.184 331.016396149 -350.486441984
186 0.185 330.666038851 -350.2281735
187 0.186 330.315939763 -349.970020576
188 0.187 329.966098771 -349.711983188
189 0.188 329.616515758 -349.454061312
190 0.189 329.26719061 -349.196254924
191 0.19 328.91812321 -348.938564
192 0.191 328.569313443 -348.680988516
193 0.192 328.220761194 -348.423528448
194 0.193 327.872466348 -348.166183772
195 0.194 327.524428788 -347.908954464
196 0.195 327.176648401 -347.6518405
197 0.196 326.829125069 -347.394841856
198 0.197 326.481858678 -347.137958508
199 0.198 326.134849114 -346.881190432
200 0.199 325.788096259 -346.624537604
201 0.2 325.4416 -346.368
202 0.201 325.095360221 -346.111577596
203 0.202 324.749376806 -345.855270368
204 0.203 324.403649642 -345.599078292
205 0.204 324.058178611 -345.343001344
206 0.205 323.712963601 -345.0870395
207 0.206 323.368004494 -344.831192736
208 0.207 323.023301177 -344.575461028
209 0.208 322.678853534 -344.319844352
210 0.209 322.33466145 -344.064342684
211 0.21 321.99072481 -343.808956
212 0.211 321.647043499 -343.553684276
213 0.212 321.303617403 -343.298527488
214 0.213 320.960446406 -343.043485612
215 0.214 320.617530394 -342.788558624
216 0.215 320.274869251 -342.5337465
217 0.216 319.932462862 -342.279049216
218 0.217 319.590311114 -342.024466748
219 0.218 319.248413891 -341.769999072
220 0.219 318.906771078 -341.515646164
221 0.22 318.56538256 -341.261408
222 0.221 318.224248223 -341.007284556
223 0.222 317.883367953 -340.753275808
224 0.223 317.542741633 -340.499381732
225 0.224 317.202369151 -340.245602304
226 0.225 316.862250391 -339.9919375
227 0.226 316.522385238 -339.738387296
228 0.227 316.182773578 -339.484951668
229 0.228 315.843415296 -339.231630592
230 0.229 315.504310278 -338.978424044
231 0.23 315.16545841 -338.725332
232 0.231 314.826859576 -338.472354436
233 0.232 314.488513663 -338.219491328
234 0.233 314.150420556 -337.966742652
235 0.234 313.81258014 -337.714108384
236 0.235 313.474992301 -337.4615885
237 0.236 313.137656924 -337.209182976
238 0.237 312.800573897 -336.956891788
239 0.238 312.463743103 -336.704714912
240 0.239 312.127164429 -336.452652324
241 0.24 311.79083776 -336.200704
242 0.241 311.454762983 -335.948869916
243 0.242 311.118939982 -335.697150048
244 0.243 310.783368644 -335.445544372
245 0.244 310.448048855 -335.194052864
246 0.245 310.112980501 -334.9426755
247 0.246 309.778163466 -334.691412256
248 0.247 309.443597638 -334.440263108
249 0.248 309.109282902 -334.189228032
250 0.249 308.775219144 -333.938307004
251 0.25 308.44140625 -333.6875
252 0.251 308.107844106 -333.436806996
253 0.252 307.774532598 -333.186227968
254 0.253 307.441471612 -332.935762892
255 0.254 307.108661034 -332.685411744
256 0.255 306.776100751 -332.4351745
257 0.256 306.443790647 -332.185051136
258 0.257 306.11173061 -331.935041628
259 0.258 305.779920526 -331.685145952
260 0.259 305.448360281 -331.435364084
261 0.26 305.11704976 -331.185696
262 0.261 304.785988851 -330.936141676
263 0.262 304.455177439 -330.686701088
264 0.263 304.124615411 -330.437374212
265 0.264 303.794302652 -330.188161024
266 0.265 303.464239051 -329.9390615
267 0.266 303.134424492 -329.690075616
268 0.267 302.804858862 -329.441203348
269 0.268 302.475542047 -329.192444672
270 0.269 302.146473934 -328.943799564
271 0.27 301.81765441 -328.695268
272 0.271 301.48908336 -328.446849956
273 0.272 301.160760672 -328.198545408
274 0.273 300.832686232 -327.950354332
275 0.274 300.504859926 -327.702276704
276 0.275 300.177281641 -327.4543125
277 0.276 299.849951263 -327.206461696
278 0.277 299.522868679 -326.958724268
279 0.278 299.196033777 -326.711100192
280 0.279 298.869446441 -326.463589444
281 0.28 298.54310656 -326.216192
282 0.281 298.21701402 -325.968907836
283 0.282 297.891168707 -325.721736928
284 0.283 297.565570508 -325.474679252
285 0.284 297.24021931 -325.227734784
286 0.285 296.915115001 -324.9809035
287 0.286 296.590257466 -324.734185376
288 0.287 296.265646592 -324.487580388
289 0.288 295.941282267 -324.241088512
