#this format is:
#index x U(x) F(x)
1        0.0      121.0     -176.0
2      0.001 120.824085984 -175.828047996
3      0.002 120.648343872 -175.656191968
4      0.003 120.472773568 -175.484431892
5      0.004 120.297374976 -175.312767744
6      0.005 120.122148001 -175.1411995
7      0.006 119.947092545 -174.969727136
8      0.007 119.772208514 -174.798350628
9      0.008 119.597495812 -174.627069952
10      0.009 119.422954343 -174.455885084
11       0.01 119.24858401 -174.284796
12      0.011 119.074384719 -174.113802676
13      0.012 118.900356373 -173.942905088
14      0.013 118.726498877 -173.772103212
15      0.014 118.552812134 -173.601397024
16      0.015 118.379296051 -173.4307865
17      0.016 118.20595053 -173.260271616
18      0.017 118.032775476 -173.089852348
19      0.018 117.859770793 -172.919528672
20      0.019 117.686936386 -172.749300564
21       0.02 117.51427216 -172.579168
22      0.021 117.341778018 -172.409130956
23      0.022 117.169453866 -172.239189408
24      0.023 116.997299608 -172.069343332
25      0.024 116.825315148 -171.899592704
26      0.025 116.653500391 -171.7299375
27      0.026 116.481855241 -171.560377696
28      0.027 116.310379603 -171.390913268
29      0.028 116.139073383 -171.221544192
30      0.029 115.967936483 -171.052270444
31       0.03 115.79696881 -170.883092
32      0.031 115.626170268 -170.714008836
33      0.032 115.455540761 -170.545020928
34      0.033 115.285080194 -170.376128252
35      0.034 115.114788472 -170.207330784
36      0.035 114.944665501 -170.0386285
37      0.036 114.774711184 -169.870021376
38      0.037 114.604925426 -169.701509388
39      0.038 114.435308133 -169.533092512
40      0.039 114.265859209 -169.364770724
41       0.04 114.09657856 -169.196544
42      0.041 113.92746609 -169.028412316
43      0.042 113.758521704 -168.860375648
44      0.043 113.589745307 -168.692433972
45      0.044 113.421136804 -168.524587264
46      0.045 113.252696101 -168.3568355
47      0.046 113.084423101 -168.189178656
48      0.047 112.916317712 -168.021616708
49      0.048 112.748379836 -167.854149632
50      0.049 112.580609381 -167.686777404
51       0.05 112.41300625  -167.5195
52      0.051 112.245570349 -167.352317396
53      0.052 112.078301584 -167.185229568
54      0.053 111.911199858 -167.018236492
55      0.054 111.744265079 -166.851338144
56      0.055 111.577497151 -166.6845345
57      0.056 111.410895978 -166.517825536
58      0.057 111.244461468 -166.351211228
59      0.058 111.078193524 -166.184691552
60      0.059 110.912092053 -166.018266484
61       0.06 110.74615696 -165.851936
62      0.061 110.58038815 -165.685700076
63      0.062 110.414785528 -165.519558688
64      0.063 110.249349001 -165.353511812
65      0.064 110.084078473 -165.187559424
66      0.065 109.918973851 -165.0217015
67      0.066 109.754035039 -164.855938016
68      0.067 109.589261943 -164.690268948
69      0.068 109.424654469 -164.524694272
70      0.069 109.260212523 -164.359213964
71       0.07 109.09593601 -164.193828
72      0.071 108.931824836 -164.028536356
73      0.072 108.767878906 -163.863339008
74      0.073 108.604098126 -163.698235932
75      0.074 108.440482403 -163.533227104
76      0.075 108.277031641 -163.3683125
77      0.076 108.113745746 -163.203492096
78      0.077 107.950624625 -163.038765868
79      0.078 107.787668183 -162.874133792
80      0.079 107.624876326 -162.709595844
81       0.08 107.46224896 -162.545152
82      0.081 107.299785991 -162.380802236
83      0.082 107.137487324 -162.216546528
84      0.083 106.975352866 -162.052384852
85      0.084 106.813382523 -161.888317184
86      0.085 106.651576201 -161.7243435
87      0.086 106.489933805 -161.560463776
88      0.087 106.328455242 -161.396677988
89      0.088 106.167140418 -161.232986112
90      0.089 106.005989238 -161.069388124
91       0.09 105.84500161 -160.905884
92      0.091 105.684177439 -160.742473716
93      0.092 105.523516631 -160.579157248
94      0.093 105.363019093 -160.415934572
95      0.094 105.202684731 -160.252805664
96      0.095 105.042513451 -160.0897705
97      0.096 104.882505159 -159.926829056
98      0.097 104.722659761 -159.763981308
99      0.098 104.562977165 -159.601227232
100      0.099 104.403457276 -159.438566804
101        0.1   104.2441   -159.276
102      0.101 104.084905244 -159.113526796
103      0.102 103.925872915 -158.951147168
104      0.103 103.767002919 -158.788861092
105      0.104 103.608295162 -158.626668544
106      0.105 103.449749551 -158.4645695
107      0.106 103.291365992 -158.302563936
108      0.107 103.133144392 -158.140651828
109      0.108 102.975084657 -157.978833152
110      0.109 102.817186694 -157.817107884
111       0.11 102.65945041 -157.655476
112      0.111 102.501875711 -157.493937476
113      0.112 102.344462504 -157.332492288
114      0.113 102.187210695 -157.171140412
115      0.114 102.030120192 -157.009881824
116      0.115 101.873190901 -156.8487165
117      0.116 101.716422728 -156.687644416
118      0.117 101.559815581 -156.526665548
119      0.118 101.403369366 -156.365779872
120      0.119 101.24708399 -156.204987364
121       0.12 101.09095936 -156.044288
122      0.121 100.934995383 -155.883681756
123      0.122 100.779191965 -155.723168608
124      0.123 100.623549015 -155.562748532
125      0.124 100.468066437 -155.402421504
126      0.125 100.312744141 -155.2421875
127      0.126 100.157582031 -155.082046496
128      0.127 100.002580017 -154.921998468
129      0.128 99.8477380035 -154.762043392
130      0.129 99.6930558989 -154.602181244
131       0.13 99.53853361 -154.442412
132      0.131 99.3841710439 -154.282735636
133      0.132 99.2299681078 -154.123152128
134      0.133 99.0759247087 -153.963661452
135      0.134 98.9220407539 -153.804263584
136      0.135 98.7683161506 -153.6449585
137      0.136 98.614750806 -153.485746176
138      0.137 98.4613446274 -153.326626588
139      0.138 98.3080975219 -153.167599712
140      0.139 98.155009397 -153.008665524
141       0.14 98.00208016 -152.849824
142      0.141 97.8493097182 -152.691075116
143      0.142 97.6966979789 -152.532418848
144      0.143 97.5442448496 -152.373855172
145      0.144 97.3919502377 -152.215384064
146      0.145 97.2398140506 -152.0570055
147      0.146 97.0878361959 -151.898719456
148      0.147 96.9360165809 -151.740525908
149      0.148 96.7843551132 -151.582424832
150      0.149 96.6328517004 -151.424416204
151       0.15 96.48150625  -151.2665
152      0.151 96.3303186696 -151.108676196
153      0.152 96.1792888668 -150.950944768
154      0.153 96.0284167493 -150.793305692
155      0.154 95.8777022247 -150.635758944
156      0.155 95.7271452006 -150.4783045
157      0.156 95.5767455849 -150.320942336
158      0.157 95.4265032852 -150.163672428
159      0.158 95.2764182093 -150.006494752
160      0.159 95.126490265 -149.849409284
161       0.16 94.97671936 -149.692416
162      0.161 94.8271054022 -149.535514876
163      0.162 94.6776482995 -149.378705888
164      0.163 94.5283479598 -149.221989012
165      0.164 94.3792042908 -149.065364224
166      0.165 94.2302172006 -148.9088315
167      0.166 94.0813865971 -148.752390816
168      0.167 93.9327123883 -148.596042148
169      0.168 93.7841944822 -148.439785472
170      0.169 93.6358327867 -148.283620764
171       0.17 93.48762721 -148.127548
172      0.171 93.3395776601 -147.971567156
173      0.172 93.1916840451 -147.815678208
174      0.173 93.043946273 -147.659881132
175      0.174 92.8963642522 -147.504175904
176      0.175 92.7489378906 -147.3485625
177      0.176 92.6016670966 -147.193040896
178      0.177 92.4545517782 -147.037611068
179      0.178 92.3075918439 -146.882272992
180      0.179 92.1607872017 -146.727026644
181       0.18 92.01413776 -146.571872
182      0.181 91.8676434271 -146.416809036
183      0.182 91.7213041114 -146.261837728
184      0.183 91.5751197211 -146.106958052
185      0.184 91.4290901647 -145.952169984
186      0.185 91.2832153506 -145.7974735
187      0.186 91.1374951872 -145.642868576
188      0.187 90.991929583 -145.488355188
189      0.188 90.8465184463 -145.333933312
190      0.189 90.7012616858 -145.179602924
191       0.19 90.55615921 -145.025364
192      0.191 90.4112109274 -144.871216516
193      0.192 90.2664167465 -144.717160448
194      0.193 90.121776576 -144.563195772
195      0.194 89.9772903245 -144.409322464
196      0.195 89.8329579006 -144.2555405
197      0.196 89.6887792131 -144.101849856
198      0.197 89.5447541705 -143.948250508
199      0.198 89.4008826816 -143.794742432
200      0.199 89.2571646552 -143.641325604
201        0.2    89.1136   -143.488
202      0.201 88.9701886248 -143.334765596
203      0.202 88.8269304384 -143.181622368
204      0.203 88.6838253497 -143.028570292
205      0.204 88.5408732675 -142.875609344
206      0.205 88.3980741006 -142.7227395
207      0.206 88.2554277581 -142.569960736
208      0.207 88.1129341488 -142.417273028
209      0.208 87.9705931817 -142.264676352
210      0.209 87.8284047658 -142.112170684
211       0.21 87.68636881 -141.959756
212      0.211 87.5444852234 -141.807432276
213      0.212 87.4027539151 -141.655199488
214      0.213 87.2611747942 -141.503057612
215      0.214 87.1197477696 -141.351006624
216      0.215 86.9784727506 -141.1990465
217      0.216 86.8373496463 -141.047177216
218      0.217 86.6963783659 -140.895398748
219      0.218 86.5555588186 -140.743711072
220      0.219 86.4148909135 -140.592114164
221       0.22 86.27437456 -140.440608
222      0.221 86.1340096673 -140.289192556
223      0.222 85.9937961447 -140.137867808
224      0.223 85.8537339014 -139.986633732
225      0.224 85.713822847 -139.835490304
226      0.225 85.5740628906 -139.6844375
227      0.226 85.4344539418 -139.533475296
228      0.227 85.2949959098 -139.382603668
229      0.228 85.1556887043 -139.231822592
230      0.229 85.0165322345 -139.081132044
231       0.23 84.87752641 -138.930532
232      0.231 84.7386711403 -138.780022436
233      0.232 84.599966335 -138.629603328
234      0.233 84.4614119035 -138.479274652
235      0.234 84.3230077555 -138.329036384
236      0.235 84.1847538006 -138.1788885
237      0.236 84.0466499484 -138.028830976
238      0.237 83.9086961086 -137.878863788
239      0.238 83.7708921907 -137.728986912
240      0.239 83.6332381046 -137.579200324
241       0.24 83.49573376 -137.429504
242      0.241 83.3583790666 -137.279897916
243      0.242 83.2211739341 -137.130382048
244      0.243 83.0841182724 -136.980956372
245      0.244 82.9472119913 -136.831620864
246      0.245 82.8104550006 -136.6823755
247      0.246 82.6738472103 -136.533220256
248      0.247 82.5373885301 -136.384155108
249      0.248 82.40107887 -136.235180032
250      0.249 82.26491814 -136.086295004
251       0.25 82.12890625  -135.9375
252      0.251 81.99304311 -135.788794996
253      0.252 81.85732863 -135.640179968
254      0.253 81.7217627201 -135.491654892
255      0.254 81.5863452903 -135.343219744
256      0.255 81.4510762506 -135.1948745
257      0.256 81.3159555113 -135.046619136
258      0.257 81.1809829824 -134.898453628
259      0.258 81.0461585741 -134.750377952
260      0.259 80.9114821966 -134.602392084
261       0.26 80.77695376 -134.454496
262      0.261 80.6425731746 -134.306689676
263      0.262 80.5083403507 -134.158973088
264      0.263 80.3742551986 -134.011346212
265      0.264 80.2403176284 -133.863809024
266      0.265 80.1065275506 -133.7163615
267      0.266 79.9728848755 -133.569003616
268      0.267 79.8393895135 -133.421735348
269      0.268 79.706041375 -133.274556672
270      0.269 79.5728403703 -133.127467564
271       0.27 79.43978641 -132.980468
272      0.271 79.3068794045 -132.833557956
273      0.272 79.1741192643 -132.686737408
274      0.273 79.0415058998 -132.540006332
275      0.274 78.9090392218 -132.393364704
276      0.275 78.7767191406 -132.2468125
277      0.276 78.644545567 -132.100349696
278      0.277 78.5125184114 -131.953976268
279      0.278 78.3806375847 -131.807692192
280      0.279 78.2489029973 -131.661497444
281       0.28 78.11731456 -131.515392
282      0.281 77.9858721835 -131.369375836
283      0.282 77.8545757786 -131.223448928
284      0.283 77.7234252559 -131.077611252
285      0.284 77.5924205263 -130.931862784
286      0.285 77.4615615006 -130.7862035
287      0.286 77.3308480896 -130.640633376
288      0.287 77.2002802042 -130.495152388
289      0.288 77.0698577551 -130.349760512
290      0.289 76.9395806534 -130.204457724
291       0.29 76.80944881 -130.059244
292      0.291 76.6794621358 -129.914119316
293      0.292 76.5496205417 -129.769083648
294      0.293 76.4199239388 -129.624136972
295      0.294 76.2903722381 -129.479279264
296      0.295 76.1609653506 -129.3345105
297      0.296 76.0317031875 -129.189830656
298      0.297 75.9025856597 -129.045239708
299      0.298 75.7736126784 -128.900737632
300      0.299 75.6447841548 -128.756324404
301        0.3    75.5161   -128.612
302      0.301 75.3875601252 -128.467764396
303      0.302 75.2591644416 -128.323617568
304      0.303 75.1309128605 -128.179559492
305      0.304 75.0028052931 -128.035590144
306      0.305 74.8748416506 -127.8917095
307      0.306 74.7470218445 -127.747917536
308      0.307 74.619345786 -127.604214228
309      0.308 74.4918133865 -127.460599552
310      0.309 74.3644245574 -127.317073484
311       0.31 74.23717921 -127.173636
312      0.311 74.1100772558 -127.030287076
313      0.312 73.9831186063 -126.887026688
314      0.313 73.856303173 -126.743854812
315      0.314 73.7296308672 -126.600771424
316      0.315 73.6031016006 -126.4577765
317      0.316 73.4767152847 -126.314870016
318      0.317 73.3504718311 -126.172051948
319      0.318 73.2243711514 -126.029322272
320      0.319 73.0984131571 -125.886680964
321       0.32 72.97259776 -125.744128
322      0.321 72.8469248717 -125.601663356
323      0.322 72.7213944039 -125.459287008
324      0.323 72.5960062682 -125.316998932
325      0.324 72.4707603766 -125.174799104
326      0.325 72.3456566406 -125.0326875
327      0.326 72.2206949722 -124.890664096
328      0.327 72.095875283 -124.748728868
329      0.328 71.9711974851 -124.606881792
330      0.329 71.8466614901 -124.465122844
331       0.33 71.72226721 -124.323452
332      0.331 71.5980145567 -124.181869236
333      0.332 71.4739034422 -124.040374528
334      0.333 71.3499337783 -123.898967852
335      0.334 71.2261054771 -123.757649184
336      0.335 71.1024184506 -123.6164185
337      0.336 70.9788726108 -123.475275776
338      0.337 70.8554678698 -123.334220988
339      0.338 70.7322041395 -123.193254112
340      0.339 70.6090813322 -123.052375124
341       0.34 70.48609936 -122.911584
342      0.341 70.363258135 -122.770880716
343      0.342 70.2405575693 -122.630265248
344      0.343 70.1179975752 -122.489737572
345      0.344 69.9955780649 -122.349297664
346      0.345 69.8732989506 -122.2089455
347      0.346 69.7511601447 -122.068681056
348      0.347 69.6291615593 -121.928504308
349      0.348 69.5073031068 -121.788415232
350      0.349 69.3855846996 -121.648413804
351       0.35 69.26400625  -121.5085
352      0.351 69.1425676704 -121.368673796
353      0.352 69.0212688732 -121.228935168
354      0.353 68.9001097709 -121.089284092
355      0.354 68.7790902759 -120.949720544
356      0.355 68.6582103006 -120.8102445
357      0.356 68.5374697577 -120.670855936
358      0.357 68.4168685596 -120.531554828
359      0.358 68.2964066189 -120.392341152
360      0.359 68.1760838482 -120.253214884
361       0.36 68.05590016 -120.114176
362      0.361 67.935855467 -119.975224476
363      0.362 67.8159496819 -119.836360288
364      0.363 67.6961827174 -119.697583412
365      0.364 67.576554486 -119.558893824
366      0.365 67.4570649006 -119.4202915
367      0.366 67.3377138739 -119.281776416
368      0.367 67.2185013187 -119.143348548
369      0.368 67.0994271478 -119.005007872
370      0.369 66.9804912739 -118.866754364
371       0.37 66.86169361 -118.728588
372      0.371 66.7430340689 -118.590508756
373      0.372 66.6245125635 -118.452516608
374      0.373 66.5061290066 -118.314611532
375      0.374 66.3878833114 -118.176793504
376      0.375 66.2697753906 -118.0390625
377      0.376 66.1518051574 -117.901418496
378      0.377 66.0339725246 -117.763861468
379      0.378 65.9162774055 -117.626391392
380      0.379 65.7987197129 -117.489008244
381       0.38 65.68129936 -117.351712
382      0.381 65.5640162599 -117.214502636
383      0.382 65.4468703258 -117.077380128
384      0.383 65.3298614707 -116.940344452
385      0.384 65.2129896079 -116.803395584
386      0.385 65.0962546506 -116.6665335
387      0.386 64.979656512 -116.529758176
388      0.387 64.8631951054 -116.393069588
389      0.388 64.7468703439 -116.256467712
390      0.389 64.630682141 -116.119952524
391       0.39 64.51463041 -115.983524
392      0.391 64.3987150642 -115.847182116
393      0.392 64.2829360169 -115.710926848
394      0.393 64.1672931816 -115.574758172
395      0.394 64.0517864717 -115.438676064
396      0.395 63.9364158006 -115.3026805
397      0.396 63.8211810819 -115.166771456
398      0.397 63.7060822289 -115.030948908
399      0.398 63.5911191552 -114.895212832
400      0.399 63.4762917744 -114.759563204
401        0.4    63.3616   -114.624
402      0.401 63.2470437456 -114.488523196
403      0.402 63.1326229248 -114.353132768
404      0.403 63.0183374513 -114.217828692
405      0.404 62.9041872387 -114.082610944
406      0.405 62.7901722006 -113.9474795
407      0.406 62.6762922509 -113.812434336
408      0.407 62.5625473032 -113.677475428
409      0.408 62.4489372713 -113.542602752
410      0.409 62.335462069 -113.407816284
411       0.41 62.22212161 -113.273116
412      0.411 62.1089158082 -113.138501876
413      0.412 61.9958445775 -113.003973888
414      0.413 61.8829078318 -112.869532012
415      0.414 61.7701054848 -112.735176224
416      0.415 61.6574374506 -112.6009065
417      0.416 61.5449036431 -112.466722816
418      0.417 61.4325039763 -112.332625148
419      0.418 61.3202383642 -112.198613472
420      0.419 61.2081067207 -112.064687764
421       0.42 61.09610896 -111.930848
422      0.421 60.9842449961 -111.797094156
423      0.422 60.8725147431 -111.663426208
424      0.423 60.760918115 -111.529844132
425      0.424 60.6494550262 -111.396347904
426      0.425 60.5381253906 -111.2629375
427      0.426 60.4269291226 -111.129612896
428      0.427 60.3158661362 -110.996374068
429      0.428 60.2049363459 -110.863220992
430      0.429 60.0941396657 -110.730153644
431       0.43 59.98347601 -110.597172
432      0.431 59.8729452931 -110.464276036
433      0.432 59.7625474294 -110.331465728
434      0.433 59.6522823331 -110.198741052
435      0.434 59.5421499187 -110.066101984
436      0.435 59.4321501006 -109.9335485
437      0.436 59.3222827932 -109.801080576
438      0.437 59.212547911 -109.668698188
439      0.438 59.1029453683 -109.536401312
440      0.439 58.9934750798 -109.404189924
441       0.44 58.88413696 -109.272064
442      0.441 58.7749309234 -109.140023516
443      0.442 58.6658568845 -109.008068448
444      0.443 58.556914758 -108.876198772
445      0.444 58.4481044585 -108.744414464
446      0.445 58.3394259006 -108.6127155
447      0.446 58.2308789991 -108.481101856
448      0.447 58.1224636685 -108.349573508
449      0.448 58.0141798236 -108.218130432
450      0.449 57.9060273792 -108.086772604
451       0.45 57.79800625  -107.9555
452      0.451 57.6901163508 -107.824312596
453      0.452 57.5823575964 -107.693210368
454      0.453 57.4747299017 -107.562193292
455      0.454 57.3672331815 -107.431261344
456      0.455 57.2598673506 -107.3004145
457      0.456 57.1526323241 -107.169652736
458      0.457 57.0455280168 -107.038976028
459      0.458 56.9385543437 -106.908384352
460      0.459 56.8317112198 -106.777877684
461       0.46 56.72499856 -106.647456
462      0.461 56.6184162794 -106.517119276
463      0.462 56.5119642931 -106.386867488
464      0.463 56.4056425162 -106.256700612
465      0.464 56.2994508636 -106.126618624
466      0.465 56.1933892506 -105.9966215
467      0.466 56.0874575923 -105.866709216
468      0.467 55.9816558039 -105.736881748
469      0.468 55.8759838006 -105.607139072
470      0.469 55.7704414975 -105.477481164
471       0.47 55.66502881 -105.347908
472      0.471 55.5597456533 -105.218419556
473      0.472 55.4545919427 -105.089015808
474      0.473 55.3495675934 -104.959696732
475      0.474 55.244672521 -104.830462304
476      0.475 55.1399066406 -104.7013125
477      0.476 55.0352698678 -104.572247296
478      0.477 54.9307621178 -104.443266668
479      0.478 54.8263833063 -104.314370592
480      0.479 54.7221333485 -104.185559044
481       0.48 54.61801216 -104.056832
482      0.481 54.5140196563 -103.928189436
483      0.482 54.410155753 -103.799631328
484      0.483 54.3064203655 -103.671157652
485      0.484 54.2028134095 -103.542768384
486      0.485 54.0993348006 -103.4144635
487      0.486 53.9959844544 -103.286242976
488      0.487 53.8927622866 -103.158106788
489      0.488 53.7896682127 -103.030054912
490      0.489 53.6867021486 -102.902087324
491       0.49 53.58386401 -102.774204
492      0.491 53.4811537126 -102.646404916
493      0.492 53.3785711721 -102.518690048
494      0.493 53.2761163044 -102.391059372
495      0.494 53.1737890253 -102.263512864
496      0.495 53.0715892506 -102.1360505
497      0.496 52.9695168963 -102.008672256
498      0.497 52.8675718781 -101.881378108
499      0.498 52.765754112 -101.754168032
500      0.499 52.664063514 -101.627042004
501        0.5    52.5625     -101.5
502      0.501 52.461063486 -101.373041996
503      0.502 52.359753888 -101.246167968
504      0.503 52.2585711221 -101.119377892
505      0.504 52.1575151043 -100.992671744
506      0.505 52.0565857506 -100.8660495
507      0.506 51.9557829773 -100.739511136
508      0.507 51.8551067004 -100.613056628
509      0.508 51.7545568361 -100.486685952
510      0.509 51.6541333006 -100.360399084
511       0.51 51.55383601 -100.234196
512      0.511 51.4536648806 -100.108076676
513      0.512 51.3536198287 -99.982041088
514      0.513 51.2537007706 -99.856089212
515      0.514 51.1539076224 -99.730221024
516      0.515 51.0542403006 -99.6044365
517      0.516 50.9546987215 -99.478735616
518      0.517 50.8552828015 -99.353118348
519      0.518 50.755992457 -99.227584672
520      0.519 50.6568276043 -99.102134564
521       0.52 50.55778816 -98.976768
522      0.521 50.4588740405 -98.851484956
523      0.522 50.3600851623 -98.726285408
524      0.523 50.2614214418 -98.601169332
525      0.524 50.1628827958 -98.476136704
526      0.525 50.0644691406 -98.3511875
527      0.526 49.966180393 -98.226321696
528      0.527 49.8680164694 -98.101539268
529      0.528 49.7699772867 -97.976840192
530      0.529 49.6720627613 -97.852224444
531       0.53 49.57427281 -97.727692
532      0.531 49.4766073495 -97.603242836
533      0.532 49.3790662966 -97.478876928
534      0.533 49.2816495679 -97.354594252
535      0.534 49.1843570803 -97.230394784
536      0.535 49.0871887506 -97.1062785
537      0.536 48.9901444956 -96.982245376
538      0.537 48.8932242322 -96.858295388
539      0.538 48.7964278771 -96.734428512
540      0.539 48.6997553474 -96.610644724
541       0.54 48.60320656 -96.486944
542      0.541 48.5067814318 -96.363326316
543      0.542 48.4104798797 -96.239791648
544      0.543 48.3143018208 -96.116339972
545      0.544 48.2182471721 -95.992971264
546      0.545 48.1223158506 -95.8696855
547      0.546 48.0265077735 -95.746482656
548      0.547 47.9308228577 -95.623362708
549      0.548 47.8352610204 -95.500325632
550      0.549 47.7398221788 -95.377371404
551       0.55 47.64450625   -95.2545
552      0.551 47.5493131512 -95.131711396
553      0.552 47.4542427996 -95.009005568
554      0.553 47.3592951125 -94.886382492
555      0.554 47.2644700071 -94.763842144
556      0.555 47.1697674006 -94.6413845
557      0.556 47.0751872105 -94.519009536
558      0.557 46.980729354 -94.396717228
559      0.558 46.8863937485 -94.274507552
560      0.559 46.7921803114 -94.152380484
561       0.56 46.69808896 -94.030336
562      0.561 46.6041196118 -93.908374076
563      0.562 46.5102721843 -93.786494688
564      0.563 46.416546595 -93.664697812
565      0.564 46.3229427612 -93.542983424
566      0.565 46.2294606006 -93.4213515
567      0.566 46.1361000307 -93.299802016
568      0.567 46.0428609691 -93.178334948
569      0.568 45.9497433334 -93.056950272
570      0.569 45.8567470411 -92.935647964
571       0.57 45.76387201 -92.814428
572      0.571 45.6711181577 -92.693290356
573      0.572 45.5784854019 -92.572235008
574      0.573 45.4859736602 -92.451261932
575      0.574 45.3935828506 -92.330371104
576      0.575 45.3013128906 -92.2095625
577      0.576 45.2091636982 -92.088836096
578      0.577 45.117135191 -91.968191868
579      0.578 45.0252272871 -91.847629792
580      0.579 44.9334399041 -91.727149844
581       0.58 44.84177296 -91.606752
582      0.581 44.7502263727 -91.486436236
583      0.582 44.6588000602 -91.366202528
584      0.583 44.5674939403 -91.246050852
585      0.584 44.4763079311 -91.125981184
586      0.585 44.3852419506 -91.0059935
587      0.586 44.2942959168 -90.886087776
588      0.587 44.2034697478 -90.766263988
589      0.588 44.1127633615 -90.646522112
590      0.589 44.0221766762 -90.526862124
591       0.59 43.93170961 -90.407284
592      0.591 43.841362081 -90.287787716
593      0.592 43.7511340073 -90.168373248
594      0.593 43.6610253072 -90.049040572
595      0.594 43.5710358989 -89.929789664
596      0.595 43.4811657006 -89.8106205
597      0.596 43.3914146307 -89.691533056
598      0.597 43.3017826073 -89.572527308
599      0.598 43.2122695488 -89.453603232
600      0.599 43.1228753736 -89.334760804
601        0.6    43.0336    -89.216
602      0.601 42.9444433464 -89.097320796
603      0.602 42.8554053312 -88.978723168
604      0.603 42.7664858729 -88.860207092
605      0.604 42.6776848899 -88.741772544
606      0.605 42.5890023006 -88.6234195
607      0.606 42.5004380237 -88.505147936
608      0.607 42.4119919776 -88.386957828
609      0.608 42.3236640809 -88.268849152
610      0.609 42.2354542522 -88.150821884
611       0.61 42.14736241 -88.032876
612      0.611 42.059388473 -87.915011476
613      0.612 41.9715323599 -87.797228288
614      0.613 41.8837939894 -87.679526412
615      0.614 41.79617328 -87.561905824
616      0.615 41.7086701506 -87.4443665
617      0.616 41.6212845199 -87.326908416
618      0.617 41.5340163067 -87.209531548
619      0.618 41.4468654298 -87.092235872
620      0.619 41.3598318079 -86.975021364
621       0.62 41.27291536 -86.857888
622      0.621 41.1861160049 -86.740835756
623      0.622 41.0994336615 -86.623864608
624      0.623 41.0128682486 -86.506974532
625      0.624 40.9264196854 -86.390165504
626      0.625 40.8400878906 -86.2734375
627      0.626 40.7538727834 -86.156790496
628      0.627 40.6677742826 -86.040224468
629      0.628 40.5817923075 -85.923739392
630      0.629 40.4959267769 -85.807335244
631       0.63 40.41017761 -85.691012
632      0.631 40.3245447259 -85.574769636
633      0.632 40.2390280438 -85.458608128
634      0.633 40.1536274827 -85.342527452
635      0.634 40.0683429619 -85.226527584
636      0.635 39.9831744006 -85.1106085
637      0.636 39.898121718 -84.994770176
638      0.637 39.8131848334 -84.879012588
639      0.638 39.7283636659 -84.763335712
640      0.639 39.643658135 -84.647739524
641       0.64 39.55906816 -84.532224
642      0.641 39.4745936602 -84.416789116
643      0.642 39.3902345549 -84.301434848
644      0.643 39.3059907636 -84.186161172
645      0.644 39.2218622057 -84.070968064
646      0.645 39.1378488006 -83.9558555
647      0.646 39.0539504679 -83.840823456
648      0.647 38.9701671269 -83.725871908
649      0.648 38.8864986972 -83.611000832
650      0.649 38.8029450984 -83.496210204
651       0.65 38.71950625   -83.3815
652      0.651 38.6361820716 -83.266870196
653      0.652 38.5529724828 -83.152320768
654      0.653 38.4698774033 -83.037851692
655      0.654 38.3868967527 -82.923462944
656      0.655 38.3040304506 -82.8091545
657      0.656 38.2212784169 -82.694926336
658      0.657 38.1386405712 -82.580778428
659      0.658 38.0561168333 -82.466710752
660      0.659 37.973707123 -82.352723284
661       0.66 37.89141136 -82.238816
662      0.661 37.8092294642 -82.124988876
663      0.662 37.7271613555 -82.011241888
664      0.663 37.6452069538 -81.897575012
665      0.664 37.5633661788 -81.783988224
666      0.665 37.4816389506 -81.6704815
667      0.666 37.4000251891 -81.557054816
668      0.667 37.3185248143 -81.443708148
669      0.668 37.2371377462 -81.330441472
670      0.669 37.1558639047 -81.217254764
671       0.67 37.07470321 -81.104148
672      0.671 36.9936555821 -80.991121156
673      0.672 36.9127209411 -80.878174208
674      0.673 36.831899207 -80.765307132
675      0.674 36.7511903002 -80.652519904
676      0.675 36.6705941406 -80.5398125
677      0.676 36.5901106486 -80.427184896
678      0.677 36.5097397442 -80.314637068
679      0.678 36.4294813479 -80.202168992
680      0.679 36.3493353797 -80.089780644
681       0.68 36.26930176 -79.977472
682      0.681 36.1893804091 -79.865243036
683      0.682 36.1095712474 -79.753093728
684      0.683 36.0298741951 -79.641024052
685      0.684 35.9502891727 -79.529033984
686      0.685 35.8708161006 -79.4171235
687      0.686 35.7914548992 -79.305292576
688      0.687 35.712205489 -79.193541188
689      0.688 35.6330677903 -79.081869312
690      0.689 35.5540417238 -78.970276924
691       0.69 35.47512721 -78.858764
692      0.691 35.3963241694 -78.747330516
693      0.692 35.3176325225 -78.635976448
694      0.693 35.23905219 -78.524701772
695      0.694 35.1605830925 -78.413506464
696      0.695 35.0822251506 -78.3023905
697      0.696 35.0039782851 -78.191353856
698      0.697 34.9258424165 -78.080396508
699      0.698 34.8478174656 -77.969518432
700      0.699 34.7699033532 -77.858719604
701        0.7    34.6921    -77.748
702      0.701 34.6144073268 -77.637359596
703      0.702 34.5368252544 -77.526798368
704      0.703 34.4593537037 -77.416316292
705      0.704 34.3819925955 -77.305913344
706      0.705 34.3047418506 -77.1955895
707      0.706 34.2276013901 -77.085344736
708      0.707 34.1505711348 -76.975179028
709      0.708 34.0736510057 -76.865092352
710      0.709 33.9968409238 -76.755084684
711       0.71 33.92014081 -76.645156
712      0.711 33.8435505854 -76.535306276
